pred,truth
0.576102,0.0
0.576102,1.0
0.576102,1.0
0.576102,1.0
0.576102,0.0
0.576102,0.0
0.576102,0.0
0.576102,0.0
0.576102,0.0
0.576102,0.0
0.576102,0.0
0.576102,1.0
0.576102,1.0
0.576102,0.0
0.576102,1.0
0.576102,0.0
0.576102,0.0
0.576102,0.0
0.576102,0.0
0.576102,1.0
0.576102,0.0
0.576102,0.0
0.576102,0.0
0.576102,0.0
0.576102,0.0
0.576102,0.0
0.576102,1.0
0.576102,1.0
0.576102,1.0
0.576102,0.0
0.576102,0.0
0.576102,0.0
0.576102,1.0
0.576102,0.0
0.576102,1.0
0.576102,1.0
0.576102,1.0
0.576102,1.0
0.576102,1.0
0.576102,1.0
0.576102,1.0
0.576102,0.0
0.576102,1.0
0.576102,1.0
0.576102,1.0
0.576102,0.0
0.576102,1.0
0.576102,1.0
0.576102,0.0
0.576102,1.0
0.576102,1.0
0.576102,0.0
0.576102,0.0
0.576102,1.0
0.576102,0.0
0.576102,0.0
0.576102,1.0
0.576102,0.0
0.576102,1.0
0.576102,1.0
0.576102,0.0
0.576102,0.0
0.576102,0.0
0.576102,1.0
0.576102,0.0
0.576102,1.0
0.576102,1.0
0.576102,1.0
0.576102,1.0
0.576102,0.0
0.576102,0.0
0.576102,1.0
0.576102,1.0
0.576102,1.0
0.576102,1.0
0.576102,1.0
0.576102,0.0
0.576102,1.0
0.576102,1.0
0.576102,1.0
0.576102,1.0
0.576102,1.0
0.576102,1.0
0.576102,0.0
0.576102,0.0
0.576102,1.0
0.576102,1.0
0.576102,0.0
0.576102,1.0
0.576102,1.0
0.576102,1.0
0.576102,0.0
0.576102,1.0
0.576102,0.0
0.576102,1.0
0.576102,1.0
0.576102,1.0
0.576102,0.0
0.576102,0.0
0.576102,0.0
0.283389,0.0
0.739839,1.0
0.739839,1.0
0.739839,1.0
0.283389,0.0
0.283389,0.0
0.283389,0.0
0.283389,0.0
0.283389,0.0
0.283389,1.0
0.283389,0.0
0.739839,1.0
0.739839,1.0
0.283389,0.0
0.739839,0.0
0.283389,0.0
0.283389,1.0
0.283389,0.0
0.283389,0.0
0.739839,1.0
0.283389,1.0
